DATETIME,TX_HASH,TX_STATUS,ADDRESS,TOKEN0,TOKEN1,AMOUNT
1,0x25281a92a8e9768d0e1776263f1fb7bc6692e8218675ab79068724bee0e47bb8,Failed Transaction,0x1007287F9f02C15cfE1d0b909FA201A9e0fee194,BNB,BUSD,0.3524100170409
1,0xed322bd3b721cb8265dd7abc519bf35a77d71983f0549069dfb5e8bca9e9e3eb,Successful Transaction,0x1007287F9f02C15cfE1d0b909FA201A9e0fee194,BUSD,BNB,0.02
